SNo,Animal,Young,Female,Male,Collective noun,Collateral adjective,Culinary noun for meat
1,Aardvark,cub,sow,boar,—,orycteropodian,
2,Albatross,chick,N/A,N/A,flock,?,
,,,,,rookery,,
,,,,,gam (when searching for mates),,
3,Alligator,hatchling,cow,bull,congregation,eusuchian,
4,Alpaca,cria,?,?,herd,camelid,
5,Ant,larva,queen,drone,army,formic,
,,pupa,worker,,bike,myrmecine,
,,,gyne,,colony,,
,,,,,nest,,
,,,,,swarm,,
6,Anteater,pup,sow,boar,N/A,?,
7,Antelope,calf,doe,buck,herd,alcelaphine,
,,,,,cluster,bubaline,
,,,,,tribe,antilopine,
8,Ape,infant,N/A,N/A,shrewdness,simian,
,,,,,troop,,
9,Armadillo,pup,sow,boar,N/A,cingulatan,
,,baby,,,,,
10,Ass/Donkey,foal,jenny,jack,herd,asinine,
,,,,,coffle,,
,,,,,drove,,
,,,,,pace,,
11,Baboon,infant,N/A,?,flange,?,
,,,,,tribe,,
,,,,,troop,,
12,Badger,cub,sow,boar,cete,musteline,
,,kit,,,clan,,
,,,,,colony,,
,,,,,company,,
13,Barracuda,?,?,?,school,percesocine,
14,Bat,pup,N/A,N/A,cloud,pteropine,
,,,,,colony,noctillionine,
,,,,,flock,,
15,Bear,cub,sow,boar,sleuth,ursine,
,,,,,sloth,,
16,Beaver,kit,N/A,N/A,family,,
,,kitten,,,colony,,
,,pup,,,,,
17,Bee,larva,queen,drone,cast (a second swarm),apic,
,,pupa,worker,,cluster (of workers around the queen),apian,
,,,,,colony,apiarian,
,,,,,drift,,
,,,,,erst,,
,,,,,grist,,
,,,,,hive,,
,,,,,nest,,
,,,,,rabble,,
,,,,,stand,,
,,,,,swarm,,
18,Bison,calf,cow,bull,herd,bovine,
,,,,,,bubaline,
19,Boar (wild pig),piglet,?,?,herd,?,
,Also see Pig,farrow,,,singular,,
,,shoat/shote (just weaned),,,sounder,,
20,"Buffalo, African (for American buffalo, see Bison",calf,"cow, heifer",bull,herd,?,
,,,,,troop,,
,,,,,gang,,
,,,,,obstinancy,,
21,Galago,infant,N/A,N/A,gathering,galagine,
,,,,,plot,,
22,Butterfly,caterpillar,?,?,flight,pieridine,
,,larva,,,flutter,pierine,
,,pupa,,,rabble,lepidopteran,
,,chrysalis,,,,,
23,Camel,calf,cow,bull,caravan,camelid,
,,,,,flock,cameline,
,,,,,herd,,
,,,,,train,,
24,Caribou,calf,?,?,herd,rangiferine,
25,Cat,kitten,molly,tom,clowder,feline,
,,kit,queen,gib (castrated male),cluster,,
,,,pussy,,clutter,,
,,,,,glaring,,
,,,,,pounce,,
,,,,,kindle (kittens),,
,,,,,litter (kittens),,
26,Caterpillar,?,?,?,army,?,
27,Cattle,calf,cow,bull,herd,bovine,beef
,,,,,drove,taurine (male),veal
,,,,,mob,vaccine (female),
,,,,,team (Oxen),vituline (young),
28,Chamois,calf,doe,bull,herd,rupicaprine,
29,Cheetah,cub,?,?,coalition (male),?,
30,Chicken,chick,hen,rooster,flock,galline,poultry
,,,pullet,cock,brood,,
,,,,cockerel,peep (chicks),,
,,,,capon (castrated male),clutch (eggs),,
31,Chimpanzee,infant,empress,blackback,troop,panine,
,,,,,group,,
,,,,,harem,,
32,Chinchilla,kit,velvet,boar,herd,chinchilline,
,,,sow,bull,colony,,
33,Chough,chick,?,?,chattering,corvine,
,,,,,clattering,,
34,Clam,larva,?,?,bed,?,
35,Cobra,?,?,?,quiver,elapid,
36,Cockroach,nymph,?,?,intrusion,blattid,
37,Cod,codling,?,?,school,gadoid,
,,sprat,,,,gadine,
38,Cormorant,chick,?,?,gulp,,
,,shaglet,,,flight,,
39,Coyote,cub,bitch,dog,pack,canine,
,,pup,,,train,,
,,whelp,,,band,,
40,Crab,N/A,hen,cock,cast,cancrine,
,,,jenny,jimmy,consortium,,
41,Crane,chick,?,?,herd,alectorine,
,,colt,,,sedge,,
,,,,,siege,,
42,Crocodile,hatchling,cow,bull,bask,crocodilian,
,,,,,congregation,,
,,,,,float,,
,,,,,nest,,
43,Crow,?,?,?,horde,corvine,
,,,,,hover,,
,,,,,murder,,
44,Curlew,?,?,?,herd,?,
45,Deer,calf,doe,buck,bunch,cervine,venison
,,fawn,hind,stag,herd,elaphine,humble (organ meat)
,,,cow,bull,mob,,
,,,,hart (red deer),rangale,,
,,,,,clash,,
,,,,,gang,,
,,,,,leash,,
,,,,,(buck) brace,,
,,,,,(roe) bevy,,
46,Dinosaur,hatchling,cow,bull,herd (herbivores),dinosaurian,
,,juvenile,,,pack (carnivores),,
47,Dog,pup,bitch,dog,pack (wild),canine,
,,puppy,dam,stud,kennel,,
,,whelp,,sire,legion,,
,,,,,mute,,
,,,,,litter (young),,
,,,,,cowardice (curs),,
,,,,,comedy (boxers),,
,,,,,cry (hounds),,
48,Dogfish,?,?,?,troop,?,capeshark (USA)
,,,,,,,rock salmon (UK)
,,,,,,,"flake (UK, AUS)"
,,,,,,,huss (UK)
,,,,,,,rigg (UK)
,,,,,,,kahada (CAN)
49,Dolphin,calf,cow,bull,school,delphine,
,,pup,,,pod,,
,,,,,herd,,
,,,,,team,,
,,,,,alliance (male),,
,,,,,party (female),,
50,Donkey - See Ass,?,?,?,?,?,
51,Dotterel,?,?,?,trip,?,
52,Dove,chick,hen,cock,arc,columbine,
,,,,,bevy,,
,,,,,cote,,
,,,,,dole,,
,,,,,dule,,
,,,,,flight,,
,,,,,paddling,,
,,,,,piteousness,,
,,,,,pitying,,
53,Dragonfly,nymph,queen,king,cluster,anisopteran,
,,,,drake,flight,,
54,Duck,duckling,duck,drake,On land,anatine,poultry
,Also see Mallard,,hen,,flock,fuliguline,
,,,,,herd,,
,,,,,badling,,
,,,,,brace,,
,,,,,safe,,
,,,,,sord,,
,,,,,sore,,
,,,,,waddling,,
,,,,,,,
,,,,,On water,,
,,,,,bunch,,
,,,,,paddling,,
,,,,,raft,,
,,,,,,,
,,,,,In flight,,
,,,,,skein,,
,,,,,string,,
,,,,,team,,
55,Dugong,calf,cow,bull,herd,dugongine,
56,Dunlin,chick,?,?,fling,?,
57,Eagle,eaglet,N/A,N/A,convocation,aquiline,
,,fledgling,,,,,
58,Echidna,puggle,?,?,—,tachyglossine,
,,"(in common use, but not scientifically endorsed)",,,,,
59,Eel,leptocephalus (larva),N/A,N/A,array,anguilline,
,,elver (juvenile),,,bed,,
,,,,,cell,,
,,,,,fry,,
,,,,,pipe,,
,,,,,swarm,,
60,Eland,calf,cow,bull,herd,?,
61,Elephant,calf,cow,bull,herd,elephantine,
,,,,,memory,proboscine,
,,,,,parade,proboscidean,
62,Elephant seal,calf,cow,bull,herd,miroungan,
,,,,,pack,,
,,,,,arrangement,,
63,Elk (wapiti),calf,cow,bull,gang,cervine,venison
,,,,,herd,,
64,Emu,chick,?,?,mob,?,
,,hatchling,,,,,
65,Falcon,eyass/eyas,falcon,tiercel,cast,acciptrine,
,,,,tercel,,,
,,,,terzel,,,
66,Ferret,kit,jill,hob,busyness,musteline,
,,,,,business,,
,,,,,cast,,
,,,,,fesnyng,,
,,,,,fesynes,,
67,Finch,chick,hen,cock,charm,fringilline,
,,,,,quiver,,
68,Fish,fry,?,?,draft,piscine,
,,fingerling,,,nest,,
,,,,,run,,
,,,,,school,,
,,,,,shoal,,
,,,,,,,
,,,,,When caught,,
,,,,,catch,,
,,,,,drought,,
,,,,,haul,,
69,Flamingo,?,?,?,stand,phoenicopterine,
,,,,,flamboyance,,
70,Fly,maggot,?,?,business,dipterous,
,,,,,cloud,,
,,,,,swarm,,
71,Fox,cub,vixen,tod,earth,vulpine,
,,kit,,dog,lead,,
,,pup,,reynard,leash,,
,,,,,skulk,,
,,,,,troop,,
72,Frog,polliwog,-,-,army,ranine,
,,tadpole,,,colony,,
,,froglet,,,knot,,
,,,,,bundle,,
73,Gaur,calf,cow,bull,herd,bovine,garabeef
,,,,,,gaurine,
74,Gazelle,calf,cow,bull,herd,gazelline,
75,Gerbil,pup,doe,buck,horde,cricetine,
76,Giant Panda,cub,sow,boar,sleuth,ailuropodine,
77,Giraffe,calf,cow,bull,herd,giraffine,
,,,,,corps,,
,,,,,tower,,
78,Gnat,larva,?,?,cloud,?,
,,,,,horde,,
,,,,,swarm,,
79,Gnu,calf,cow,bull,herd,,
,,,,,implausibility,,
80,Goat,kid,nanny,billy,drove,caprine,chevon
,,,doe,buck,flock,hircine,cabrito
,,,doeling,buckling,herd,,mutton
,,,,,mob,,
,,,,,tribe,,
,,,,,trip,,
81,Goose,gosling,goose,gander,On land,anatine,poultry
,,,,,corps,anserine,
,,,,,flock,,
,,,,,gaggle,,
,,,,,herd,,
,,,,,,,
,,,,,In flight,,
,,,,,skein,,
,,,,,team,,
,,,,,wedge,,
82,Goldfinch,?,?,?,charm,cardueline,
83,Goldfish,?,?,?,glint,?,
,,,,,troubling,,
84,Gorilla,infant,N/A,blackback,troop,simian,
,,,,silverback,band,,
,,,,,whoop,,
85,Goshawk,?,?,?,flight,?,
86,Grasshopper,nymph,?,?,cloud,caeliferian,
,,,,,swarm,,
87,Grouse,?,?,?,covey,tetraonine,
88,Guanaco,chulengo,?,?,?,camelid,
89,Guinea fowl,keet,hen,cock,confusion,numidine,poultry
,,,,,Rasp,,
,,,,,flock,,
90,Guinea pig,pup,sow,boar,herd,?,cui
91,Gull,chick,hen,cock,colony,larine,
,,,,,flock,,
92,Hamster,pup,doe,buck,horde,cricetid,
93,Hare,leveret,doe,buck,band,leverine,
,,,jill,jack,down,leporine,
,,,,,drove,,
,,,,,flick,,
,,,,,husk,,
94,Hawk,eyas,hen,tiercel,boil,accipitrine,
,,,,,cast,falconine,
,,,,,kettle,,
95,Hedgehog,hoglet,sow,boar,array,erinaceine,
,,piglet,,,,,
,,pup,,,,,
96,Heron,chick,hen,cock,flight,ardeidine,
,,,,,sedge,,
,,,,,sege,,
,,,,,siege,,
97,Herring,?,?,?,army,clupeidean,
,,,,,glean,,
,,,,,shoal,,
98,Hippopotamus,calf,cow,bull,bloat,hippopotamine,
,,,,,herd,,
,,,,,thunder,,
99,Hornet,larvae,queen,drone,nest,vespine,
,,pupae,,,swarm,,
100,Horse,foal,mare,stallion,stable,equine,
,,colt (male),dam,stud,stud,,
,,filly (female),,,harras,,
,,gelding (castrated male),,,herd (wild horses),,
,,,,,band (wild horses),,
,,,,,team (work horses),,
,,,,,rag (colts),,
,,,,,string (ponies),,
,,,,,"field (racehorses),",,
,,,,,ramada (group of horses owned by a single cowboy),,
101,Human,baby,woman,man,group,human,long pig
,,child,,,family,,(See cannibalism)
,,girl,,,band,,
,,boy,,,crowd,,
,,,,,clan,,
,,,,,tribe,,
102,Hummingbird,chick,hen,cock,charm,trochiline,
,,,,,,trochilidine,
103,Hyena,cub,bitch,dog,clan,hyenine,
,,pup,,,cackle,,
,,whelp,,,,,
104,Jackal,pup,?,?,pack,?,
105,Jaguar,cub,?,?,prowl,?,
,,,,,leap,,
106,Jay,?,?,?,band,corvine,
,,,,,party,,
,,,,,scold,,
107,"Jay, Blue",chick,hen,cock,charm,corvine,
108,Jellyfish,planula,sow,boar,bloom,scyphozoan,
,,polyp,,,fluther,,
,,ephyra,,,smack,,
,,,,,smuth,,
109,Kangaroo,joey,flyer,boomer,court,macropodine,
,,,doe,buck,herd,,
,,,jill,jack,mob,,
,,,roo,,troop,,
110,Koala,joey,doe,buck,colony,phascolarctine,
111,Komodo dragon,hatchling,cow,bull,bank,varanine,
,,chick,hen,cock,,,
,,calf,,,,,
112,Kouprey,calf,cow,bull,herd,sauveline,
,,,,,,bovine,
113,Kudu,calf,cow,bull,herd,tragelaphine,
114,Lapwing,chick,?,?,deceit,vanelline,
,,,,,desert,,
115,Lark,chick,hen,cock,exaltation,alaudine,
116,Lemur,infant,?,?,congress,lemurine,
,,,,,conspiracy,,
,,,,,plot,,
117,Leopard,cub,leopardess,leopard,leap,pardine,
,,,,,lepe,,
118,Lion,cub,lioness,lion,pride,leonine,
,,,,,sawt,,
,,,,,troop,,
119,Llama,cria,hembra,macho,herd,camelid,
,,,,,flock,,
120,Lobster,?,hen,cock,pod,homarine,
121,Locust,nymph,N/A,N/A,cloud,caelifera,
,,,,,host,,
,,,,,plague,,
,,,,,swarm,,
122,Loris,infant,,,colony,lorisine,
123,Louse,nymph,N/A,N/A,colony,pediculine,
124,Lyrebird,chick,hen,cock,musket,menurine,
125,Magpie,chick,hen,cock,flock,garruline,
,,,,,charm,,
,,,,,gulp,,
,,,,,murder,,
,,,,,tiding,,
,,,,,tittering,,
,,,,,tribe,,
126,Mallard,duckling,hen,greenhead,flush,anatine,poultry
,Also see Duck,,,,lute,,
,,,,,puddling,,
127,Manatee,calf,cow,bull,herd,manatine,
,,,,,,sirenian,
128,Marten,?,?,?,richness,?,
129,Meerkat,pup,N/A,N/A,clan,?,
,,,,,gang,,
,,,,,mob,,
130,Mink,cub,sow,boar,?,musteline,
,,kit,,,,,
131,Mole,pup,sow,boar,company,talpine,
,,,,,labour,,
,,,,,movement,,
132,Monkey,infant,N/A,N/A,tribe,simian,
,,,,,troop,,
133,Moose,calf,cow,bull,herd,cervine,venison
134,Mouse,kitten,doe,buck,colony,murine,
,,pup,,,harvest,,
,,,,,horde,,
,,As pet food,,,mischief,,
,,pinky/fuzzy/crawler/hopper,,,nest,,
135,Mosquito,nymph,N/A,N/A,scourge,aedine,
,,wriggler,,,swarm,anopheline,
,,tumbler,,,cloud,,
136,Mule,foal,molly,john,barren,?,
,,,,,pack,,
,,,,,span,,
137,Narwhal,calf,-,-,blessing,-,
138,Newt,eft,-,-,-,pleurodeline,
139,Nightingale,chick,hen,cock,flock,philomelian,
,,,,,route,,
,,,,,watch,,
140,Octopus,fry,?,?,consortium,octopodine,
141,Okapi,calf,cow,bull,herd,okapine,
142,Opossum,joey,jill,jack,passel,didelphine,
143,Oryx,calf,?,?,?,?,
144,Ostrich,hatchling,hen,cock,flock,ratite,
,,chick,,,troop,struthious,
145,Otter,pup,sow,boar,romp,musteline,
,,whelp,,,bevy,lutrine,
,,,,,family,,
,,,,,raft,,
146,Owl,fledgling,,?,parliament,strigine,
,,owlet,,,stare,,
147,Ox,calf,cow,bull,herd,bovine,
,,,,steer,yoke,,
,,,,,team,,
,,,,,drove,,
148,Oyster,spat,?,?,bed,ostracine,meat
,,,,,cast,,
,,,,,hive,,
149,Panther,cub,pantheress,?,?,pantherine,
150,Parrot,chick,hen,cock,company,psittacine,
,,,,,flock,,
,,,,,pandemonium,,
151,Partridge,chick,hen,cock,bevy,perdicine,
,,,chantelle,,covey,,
152,Peafowl,chick,peahen,peacock,party,pavonine,poultry
,,peachick,,,muster,,
,,,,,pride,,
,,,,,ostentation (peacocks),,
153,Pelican,chick,?,?,pod,pelecanine,
,,nestling,,,,,
154,Penguin,chick,?,?,rookery,spheniscine,
,,nestling,,,huddle,,
,,,,,waddle,,
,,,,,(on land) colony,,
,,,,,(in water) raft,,
155,Pheasant,chick,hen,cock,nest,phasianine,
,,,,,nye,,
,,,,,(brood) nide,,
,,,,,(take-off) bouquet,,
,,,,,(in flight) Guff,,
156,Pig,piglet,sow,boar,drift,porcine,pork
,Also see Boar,farrow,,,drove,suilline,ham
,,shoat/shote (just weaned),,,team (hogs),,bacon
,,barrow (castrated male),,,passel (hogs),,
,,gilt (young female that has not given birth),,,parcel (hogs),,
,,,,,litter (piglets),,
157,Pigeon,squab,hen,cock,flight,pullastrine,squab
,,squeaker,,,flock,,
158,Pony- See Horse,?,?,?,?,?,
159,Porcupine,pup,sow,boar,prickle,hystricine,
160,Porpoise,calf,cow,bull,crowd,phocoenine,
,,,,,herd,,
,,,,,pod,,
,,,,,school,,
,,,,,shoal,,
161,Prairie Dog,pup,sow,boar,coterie,?,
,,,,,town,,
162,Quail,chick,hen,cock,bevy,?,
,,,,,covey,,
163,Quelea,chick,hen,cock,flock,queline,
164,Rabbit,bunny,doe,buck,colony,leporine,
,,kit,jill,jack,bevy,,
,,kitten,,,bury,,
,,nestling,,,drove,,
,,,,,trace,,
,,,,,leash,,
,,,,,trip,,
,,,,,(domestic) herd,,
,,,,,(hare) down,,
,,,,,husk,,
,,,,,(young) litter,,
,,,,,nest,,
165,Raccoon,cub,sow,boar,nursery,procyonine,
,,kit,,,gaze,,
166,Rail,chick,reeve,ruff,?,ralline,
167,Ram,lamb,ewe,ram,flock,arietine,lamb
,Also see Sheep,,,,,ovine,mutton
168,Rat,calf,doe,buck,colony,murine,
,,kitten,cow,bull,horde,,
,,nestling,,,mischief,,
,,pup,,,plague,,
,,,,,swarm,,
169,Raven,chick,hen,cock,unkindness,corvine,
170,Red deer,calf,hind,stag,herd,?,venison
171,Red panda,cub,sow,boar,pack,ailuirine,
172,Reindeer (caribou),calf,cow,bull,herd,rangiferine,
173,Rhinoceros,calf,cow,bull,crash,ceratorhine,
,,,,,herd,,
174,Rook,?,?,?,building,?,
,,,,,clamor,,
,,,,,parliament,,
175,Ruff,?,?,?,hill,?,
176,Salamander,tadpole,sow,boar,maelstrom,caudatan,
,,salamanderling,,,band,,
,,,,,congress,,
177,Salmon,?,hen,cock,run,salmonine,
178,Sand Dollar,larva pluteus (free swimming stage),?,?,?,clypeasteroid,
,,juvenile (young urchin),,,,,
179,Sandpiper,?,?,?,fling,scolopacine,
180,Sardine,?,?,?,family,?,
181,Scorpion,?,?,?,bed,?,
,,,,,nest,,
182,Sea lion,pup,cow,bull,pod,otarine,
,,calf,,,colony,,
,,,,,herd,,
,,,,,rookery,,
,,,,,team,,
183,Sea Urchin,larva pluteus (free swimming stage),?,?,?,?,
,,juvenile (young urchin),,,,,
184,Seahorse,seafoal,seamare,seastallion,shoal,hippocampal,
185,Seal,pup,cow,bull,harem,phocine,
,,,,,herd,,
,,,,,pod,,
,,,,,rookery,,
186,Shark,cub,?,bull,school,selachian,flake (AUS)
,,pup,,,shiver,,
187,Sheep,lamb,ewe,ram,down,ovine,lamb
,Also see Ram,lambkin,dam,buck,drift,,mutton
,,cosset,,,drove,,hoggett
,,,,,mob,,
,,,,,flock,,
,,,,,fold,,
,,,,,herd,,
,,,,,trip,,
188,Shrew,shrewlet,sow,boar,colony,soricine,
,,,,,drove,,
189,Shrimp,,,,,,
190,Skunk,kit,sow,boar,surfeit,mephitine,
191,Snail,—,—,—,hood,gastropodian,escargot
,,,,,rout,,
,,,,,walk,,
192,Snake,snakelet,N/A,N/A,nest,anguine,
,,hatchling (a newly hatched snake),,,bed,elapine,
,,neonate(newborn),,,den,serpentine,
,,,,,knot,viperine,
,,,,,,ophidian,
193,Spider,spiderling,?,?,cluster,arachnine,
,,,,,clutter,arachnoid,
194,Squid,chick,hen,cock,audience,tethidine,calamari
195,Squirrel,pup,doe,buck,dray,sciurine,
,,kit,,,scurry,,
,,kitten,,,,,
196,Starling,?,?,?,chattering,sturnine,
,,,,,murmuration,,
197,Stingray,?,?,?,fever,myliobatoid,
198,Stinkbug,nymph,?,?,intrusion,pentatomidae,
199,Stork,?,?,?,muster,ciconine,
,,,,,mustering,,
200,Swallow,?,?,?,flight,hirundinine,
,,,,,gulp,,
201,Swan,cygnet,pen,cob,bank,cygnine,
,,flapper,,,bevy,,
,,,,,flock,,
,,,,,game,,
,,,,,herd,,
,,,,,team,,
,,,,,,,
,,,,,In flight,,
,,,,,flight,,
,,,,,wedge,,
202,Tapir,calf,cow,bull,herd,tapirine,
,,,,,measure,,
203,Tarsier,infant,doe,buck,herd,tarsiine,
,,,,,plot,,
,,,,,troop,,
204,Termite,larva,cow,bull,brood,isopteran,
,,,,,colony,,
,,,,,nest,,
,,,,,swarm,,
205,Tiger,cub,tigress,tiger,ambush,tigrine,
,,whelp,,,streak,,
206,Toad,tadpole,N/A,N/A,knot,ranine,
,,toadlet,,,nest,batrachian,
,,,,,lump},,
207,Trout,fingerling,hen,cock,hover,?,
208,Turkey,poult,hen,tom,rafter,?,poultry
,,,,gobbler,gang,,
,,,,stag,posse,,
,,,,jake (immature),,,
209,Turtle,hatchling,N/A,N/A,bale,chelonian,
,,,,,dule,,
,,,,,nest,,
,,,,,turn,,
210,Vicuña,calf,cow,bull,posse,cameline,
,,,,,herd,,
211,Viper,?,?,?,generation,viperine,
,,,,,nest,,
212,Vulture,?,?,?,venue,?,
213,Wallaby,joey,jill,jack,mob,?,
214,Walrus,calf,cow,bull,herd,odobenine,
,,,,,flock,,
,,,,,pod,,
,,,,,wealth,,
215,Wasp,larva,queen,drone,swarm,vespine,
,,,worker,,hive,,
,,,,,colony,,
,,,,,nest,,
216,Water buffalo,calf,cow,bull,pot,,carabeef
217,Weasel,pup,bitch,buck,gang,musteline,
,,kit,doe,dog,sneak,,
,,,jill,hub,,,
,,,,jack,,,
218,Whale,calf,cow,bull,gam,cetacean,blubber
,,,,,herd,cetaceous,
,,,,,mob,,
,,,,,pod,,
,,,,,school,,
219,Wolf,cub,bitch,dog,pack,lupine,
,,pup,she-wolf,,route,,
,,whelp,,,,,
220,Wolverine,kit,angeline,wolverine,pack,musteline,
,,whelp,,,gang,,
,,,,,mob,,
221,Wombat,joey,jill,jack,mob,?,
222,Woodcock,?,?,?,fall,?,
223,Woodpecker,chick,?,?,descent,picine,
224,Worm,wormlet,?,?,bed,helminthic,
,,,,,clat,vermian,
,,,,,clew,,
225,Wren,chick,cow,bull,herd,troglodytine,
,,,,,cabinet,,
226,Yak,calf,cow,bull,herd,?,
227,Zebra,colt,mare,stallion,herd,zebrine,
,,foal,,,cohort,hippotigrine,
,,,,,zeal,,
,,,,,,,
For other more formats kindly visit www.downloadexcelfiles.com,,,,,,,
,,,,,,,
Original source : en.wikipedia.org/wiki/List_of_animal_names,,,,,,,
